"contig","gene_name","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj"
"NW_021938789.1","TBC1D1","103760860",6,5,0,2,0,0,2,10,6,7,2,10,0.857142857142857,0.2,-3.28571428571429,4.28571428571429,0.201556064073227,1
"NW_021938789.1","KLF3","103760861",0,1,1,0,0,0,0,11,1,1,0,11,1,0,-Inf,Inf,0.153846153846154,1
"NW_021938789.1","LOC103760862","103760862",1,3,0,0,0,0,3,1,1,3,3,1,0.333333333333333,3,0.888888888888889,0.111111111111111,0.485714285714286,1
"NW_021938789.1","LOC103760863","103760863",1,0,0,0,0,0,2,2,1,0,2,2,Inf,1,-Inf,Inf,1,1
"NW_021938789.1","FAM114A1","103760905",2,4,0,0,0,0,4,6,2,4,4,6,0.5,0.666666666666667,0.25,0.75,1,1
"NW_021938789.1","TMEM156","103760906",0,2,0,0,0,0,6,7,0,2,6,7,0,0.857142857142857,1,0,0.485714285714286,1
"NW_021938789.1","KLHL5","103760864",1,2,0,0,0,0,0,6,1,2,0,6,0.5,0,-Inf,Inf,0.333333333333333,1
"NW_021938789.1","WDR19","103760907",2,7,2,2,0,0,4,9,4,9,4,9,0.444444444444444,0.444444444444444,0,1,1,1
"NW_021938789.1","RFC1","103760908",4,0,2,2,0,0,15,22,6,2,15,22,3,0.681818181818182,-3.4,4.4,0.120502639731227,1
"NW_021938789.1","KLB","103760909",6,12,2,2,1,2,7,9,9,16,7,9,0.5625,0.777777777777778,0.276785714285714,0.723214285714286,0.746052789271542,1
"NW_021938789.1","RPL9","103765262",0,1,0,2,0,0,0,2,0,3,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","LIAS","103760910",1,2,0,1,0,0,0,3,1,3,0,3,0.333333333333333,0,-Inf,Inf,1,1
"NW_021938789.1","UGDH","103760912",0,4,0,1,0,0,0,6,0,5,0,6,0,0,NA,NA,NA,NA
"NW_021938789.1","SMIM14","103760865",2,1,0,0,0,0,1,3,2,1,1,3,2,0.333333333333333,-5,6,0.485714285714286,1
"NW_021938789.1","UBE2K","103760913",1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021938789.1","PDS5A","103760914",0,0,0,0,0,0,0,15,0,0,0,15,NA,0,NA,NA,NA,NA
"NW_021938789.1","N4BP2","103760915",6,1,4,4,0,0,19,17,10,5,19,17,2,1.11764705882353,-0.789473684210526,1.78947368421053,0.536092879460085,1
"NW_021938789.1","RHOH","103760866",0,1,0,1,0,0,0,4,0,2,0,4,0,0,NA,NA,NA,NA
"NW_021938789.1","LOC115307730","115307730",0,0,0,0,0,0,2,0,0,0,2,0,NA,Inf,NA,NA,NA,NA
"NW_021938789.1","CHRNA9","103760868",0,0,0,0,0,0,0,4,0,0,0,4,NA,0,NA,NA,NA,NA
"NW_021938789.1","RBM47","103760916",1,3,0,2,0,0,2,10,1,5,2,10,0.2,0.2,0,1,1,1
"NW_021938789.1","NSUN7","103760917",0,6,0,0,0,0,2,7,0,6,2,7,0,0.285714285714286,1,0,0.485714285714286,1
"NW_021938789.1","APBB2","103760869",2,1,0,0,0,0,2,4,2,1,2,4,2,0.5,-3,4,0.523809523809524,1
"NW_021938789.1","UCHL1","103760870",0,1,0,1,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021938789.1","LIMCH1","103760918",3,4,1,8,0,0,22,15,4,12,22,15,0.333333333333333,1.46666666666667,0.772727272727273,0.227272727272727,0.0352008987480121,1
"NW_021938789.1","PHOX2B","103760919",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938789.1","TMEM33","103760871",1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
"NW_021938789.1","SLC30A9","103760872",2,2,0,2,0,0,3,6,2,4,3,6,0.5,0.5,0,1,1,1
"NW_021938789.1","BEND4","103760920",0,1,0,0,0,0,1,3,0,1,1,3,0,0.333333333333333,1,0,1,1
"NW_021938789.1","SHISA3","108644424",0,1,1,1,0,0,4,4,1,2,4,4,0.5,1,0.5,0.5,1,1
"NW_021938789.1","ATP8A1","103760921",0,3,0,0,0,0,0,3,0,3,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","GRXCR1","103760874",0,2,1,0,0,0,0,2,1,2,0,2,0.5,0,-Inf,Inf,1,1
"NW_021938789.1","KCTD8","103760923",0,0,0,0,0,0,1,3,0,0,1,3,NA,0.333333333333333,NA,NA,NA,NA
"NW_021938789.1","YIPF7","103760875",1,0,0,0,0,0,3,4,1,0,3,4,Inf,0.75,-Inf,Inf,1,1
"NW_021938789.1","GUF1","103760876",4,4,0,1,0,0,2,11,4,5,2,11,0.8,0.181818181818182,-3.4,4.4,0.177797434763379,1
"NW_021938789.1","GNPDA2","103765203",0,1,0,1,0,0,0,2,0,2,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","LOC108640744","108640744",2,1,0,1,0,0,5,2,2,2,5,2,1,2.5,0.6,0.4,0.575757575757576,1
"NW_021938789.1","GABRG1","103760924",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938789.1","GABRA2","103760878",0,1,1,2,0,0,0,3,1,3,0,3,0.333333333333333,0,-Inf,Inf,1,1
"NW_021938789.1","GABRA4","103765740",1,2,1,0,0,0,6,4,2,2,6,4,1,1.5,0.333333333333333,0.666666666666667,1,1
"NW_021938789.1","GABRB1","103760879",4,0,1,1,0,0,1,6,5,1,1,6,5,0.166666666666667,-29,30,0.0291375291375291,1
"NW_021938789.1","COMMD8","103760926",0,0,0,0,0,0,1,3,0,0,1,3,NA,0.333333333333333,NA,NA,NA,NA
"NW_021938789.1","ATP10D","103760927",9,11,4,6,0,1,18,16,13,18,18,16,0.722222222222222,1.125,0.358024691358025,0.641975308641975,0.458699214152789,1
"NW_021938789.1","CORIN","103760928",4,5,1,0,0,0,4,7,5,5,4,7,1,0.571428571428571,-0.75,1.75,0.66992140985949,1
"NW_021938789.1","NFXL1","103760929",2,0,0,1,0,0,0,15,2,1,0,15,2,0,-Inf,Inf,0.0196078431372549,1
"NW_021938789.1","CNGA1","103760880",2,1,2,2,0,0,1,7,4,3,1,7,1.33333333333333,0.142857142857143,-8.33333333333333,9.33333333333333,0.118881118881119,1
"NW_021938789.1","NIPAL1","103760930",1,0,2,0,0,0,7,6,3,0,7,6,Inf,1.16666666666667,-Inf,Inf,0.25,1
"NW_021938789.1","TEC","103760881",0,2,0,1,0,1,1,5,0,4,1,5,0,0.2,1,0,1,1
"NW_021938789.1","SLAIN2","103760931",1,0,0,0,0,0,1,3,1,0,1,3,Inf,0.333333333333333,-Inf,Inf,0.4,1
"NW_021938789.1","SLC10A4","103760932",3,0,3,1,0,0,1,1,6,1,1,1,6,1,-5,6,0.416666666666667,1
"NW_021938789.1","ZAR1","108638783",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938789.1","FRYL","103760883",5,17,0,2,0,0,5,31,5,19,5,31,0.263157894736842,0.161290322580645,-0.631578947368421,1.63157894736842,0.50138037022772,1
"NW_021938789.1","OCIAD1","103760884",0,0,0,0,0,0,0,5,0,0,0,5,NA,0,NA,NA,NA,NA
"NW_021938789.1","OCIAD2","103760885",2,0,0,0,0,0,5,2,2,0,5,2,Inf,2.5,-Inf,Inf,1,1
"NW_021938789.1","CWH43","103760934",5,2,1,1,0,0,1,7,6,3,1,7,2,0.142857142857143,-13,14,0.0497737556561086,1
"NW_021938789.1","DCUN1D4","103760886",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938789.1","LRRC66","103760935",20,7,5,3,1,0,33,13,26,10,33,13,2.6,2.53846153846154,-0.0242424242424242,1.02424242424242,1,1
"NW_021938789.1","SGCB","103760887",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938789.1","SPATA18","108642695",2,4,0,0,0,0,5,5,2,4,5,5,0.5,1,0.5,0.5,0.632867132867133,1
"NW_021938789.1","USP46","103760888",1,1,0,7,0,0,1,2,1,8,1,2,0.125,0.5,0.75,0.25,0.454545454545454,1
"NW_021938789.1","RASL11B","103760937",1,0,0,1,0,0,0,3,1,1,0,3,1,0,-Inf,Inf,0.4,1
"NW_021938789.1","SCFD2","103760938",5,2,0,1,0,0,2,3,5,3,2,3,1.66666666666667,0.666666666666667,-1.5,2.5,0.592074592074592,1
"NW_021938789.1","FIP1L1","103760889",0,3,0,0,0,0,0,3,0,3,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","LNX1","103760890",5,4,0,2,0,0,2,12,5,6,2,12,0.833333333333333,0.166666666666667,-4,5,0.17745995423341,1
"NW_021938789.1","CHIC2","103760939",1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021938789.1","GSX2","103760940",0,4,0,0,0,0,0,1,0,4,0,1,0,0,NA,NA,NA,NA
"NW_021938789.1","PDGFRA","103760892",1,5,1,1,0,0,0,14,2,6,0,14,0.333333333333333,0,-Inf,Inf,0.121212121212121,1
"NW_021938789.1","KIT","103760941",1,7,0,3,0,0,4,4,1,10,4,4,0.1,1,0.9,0.1,0.110767113863089,1
"NW_021938789.1","KDR","103760942",2,0,0,5,0,0,10,18,2,5,10,18,0.4,0.555555555555556,0.28,0.72,1,1
"NW_021938789.1","SRD5A3","103760943",1,0,2,1,0,0,5,4,3,1,5,4,3,1.25,-1.4,2.4,1,1
"NW_021938789.1","TMEM165","103760945",0,1,0,0,0,0,0,3,0,1,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","CLOCK","103760893",0,1,0,1,0,0,0,6,0,2,0,6,0,0,NA,NA,NA,NA
"NW_021938789.1","PDCL2","103760946",1,0,0,0,0,0,7,3,1,0,7,3,Inf,2.33333333333333,-Inf,Inf,1,1
"NW_021938789.1","NMU","103760947",2,1,1,0,0,0,1,3,3,1,1,3,3,0.333333333333333,-8,9,0.485714285714286,1
"NW_021938789.1","EXOC1L","108638884",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938789.1","EXOC1","103760894",1,2,0,2,0,0,0,8,1,4,0,8,0.25,0,-Inf,Inf,0.384615384615385,1
"NW_021938789.1","CEP135","103760895",2,7,0,1,0,0,3,8,2,8,3,8,0.25,0.375,0.333333333333333,0.666666666666667,1,1
"NW_021938789.1","KIAA1211","103760948",5,2,0,1,0,0,9,11,5,3,9,11,1.66666666666667,0.818181818181818,-1.03703703703704,2.03703703703704,0.677616747181965,1
"NW_021938789.1","AASDH","103760896",11,4,3,3,0,0,7,10,14,7,7,10,2,0.7,-1.85714285714286,2.85714285714286,0.189847537460828,1
"NW_021938789.1","PPAT","103760949",2,0,1,1,0,0,0,8,3,1,0,8,3,0,-Inf,Inf,0.0181818181818182,1
"NW_021938789.1","LOC103760950","103760950",3,2,0,2,0,0,3,0,3,4,3,0,0.75,Inf,1,0,0.2,1
"NW_021938789.1","PAICS","103760897",0,1,0,0,0,0,3,5,0,1,3,5,0,0.6,1,0,1,1
"NW_021938789.1","LONRF1","103760951",1,0,0,2,0,0,3,1,1,2,3,1,0.5,3,0.833333333333333,0.166666666666667,0.485714285714286,1
"NW_021938789.1","TRMT9B","103765463",3,2,0,1,0,0,2,5,3,3,2,5,1,0.4,-1.5,2.5,0.592074592074592,1
"NW_021938789.1","DLC1","103760899",4,8,1,3,0,0,11,20,5,11,11,20,0.454545454545455,0.55,0.173553719008264,0.826446280991735,1,1
"NW_021938789.1","SGCZ","103760900",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938789.1","TUSC3","103754644",1,1,0,0,0,0,0,4,1,1,0,4,1,0,-Inf,Inf,0.333333333333333,1
"NW_021938789.1","FGF20","103754642",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938789.1","MICU3","103754641",0,0,1,1,0,0,1,2,1,1,1,2,1,0.5,-1,2,1,1
"NW_021938789.1","ZDHHC2","103754640",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938789.1","CNOT7","103754630",0,1,0,2,0,0,0,2,0,3,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","VPS37A","103754639",0,0,0,0,0,0,1,0,0,0,1,0,NA,Inf,NA,NA,NA,NA
"NW_021938789.1","MTMR7","103754629",2,1,3,3,0,0,2,11,5,4,2,11,1.25,0.181818181818182,-5.875,6.875,0.0743034055727554,1
"NW_021938789.1","SLC7A2","103754628",0,3,0,0,0,0,3,2,0,3,3,2,0,1.5,1,0,0.196428571428571,1
"NW_021938789.1","PDGFRL","103754638",2,1,0,0,0,0,3,6,2,1,3,6,2,0.5,-3,4,0.522727272727273,1
"NW_021938789.1","MTUS1","103765678",6,1,8,5,0,0,12,13,14,6,12,13,2.33333333333333,0.923076923076923,-1.52777777777778,2.52777777777778,0.224438940809371,1
"NW_021938789.1","FGL1","103754627",2,1,2,1,0,0,2,2,4,2,2,2,2,1,-1,2,1,1
"NW_021938789.1","PCM1","103754635",7,7,4,5,1,0,9,16,12,12,9,16,1,0.5625,-0.777777777777778,1.77777777777778,0.393063750550864,1
"NW_021938789.1","LOC103754626","103754626",7,3,1,3,0,0,6,3,8,6,6,3,1.33333333333333,2,0.333333333333333,0.666666666666667,1,1
"NW_021938789.1","ASAH1","103754634",0,0,0,0,0,0,5,3,0,0,5,3,NA,1.66666666666667,NA,NA,NA,NA
"NW_021938789.1","FRG1","103754633",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021938789.1","FAT1","103758518",16,20,5,5,0,0,18,40,21,25,18,40,0.84,0.45,-0.866666666666667,1.86666666666667,0.155101161330078,1
"NW_021938789.1","MTNR1A","103758492",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021938789.1","LOC103758493","103758493",3,0,0,1,0,0,7,2,3,1,7,2,3,3.5,0.142857142857143,0.857142857142857,1,1
"NW_021938789.1","LOC103758495","103758495",0,2,0,0,0,0,3,5,0,2,3,5,0,0.6,1,0,1,1
"NW_021938789.1","FAM149A","103758519",4,0,2,1,0,0,7,5,6,1,7,5,6,1.4,-3.28571428571429,4.28571428571429,0.333075335397317,1
"NW_021938789.1","TLR3","103758496",1,0,1,2,0,0,6,13,2,2,6,13,1,0.461538461538462,-1.16666666666667,2.16666666666667,0.588932806324111,1
"NW_021938789.1","SORBS2","103758497",10,10,3,3,0,0,4,11,13,13,4,11,1,0.363636363636364,-1.75,2.75,0.195438757892975,1
"NW_021938789.1","PDLIM3","103758498",2,2,0,0,0,0,2,8,2,2,2,8,1,0.25,-3,4,0.520479520479521,1
"NW_021938789.1","UFSP2","103758522",0,0,0,1,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","ANKRD37","103758499",2,0,0,1,0,0,3,1,2,1,3,1,2,3,0.333333333333333,0.666666666666667,1,1
"NW_021938789.1","LRP2BP","103758523",2,2,0,0,0,0,8,5,2,2,8,5,1,1.6,0.375,0.625,1,1
"NW_021938789.1","SNX25","103758500",1,5,2,2,0,0,2,5,3,7,2,5,0.428571428571429,0.4,-0.0714285714285714,1.07142857142857,1,1
"NW_021938789.1","CFAP97","103758503",5,4,0,1,0,1,7,7,5,6,7,7,0.833333333333333,1,0.166666666666667,0.833333333333333,1,1
"NW_021938789.1","SLC25A4","103758524",0,1,0,1,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021938789.1","HELT","115307420",0,0,0,0,0,0,1,1,0,0,1,1,NA,1,NA,NA,NA,NA
"NW_021938789.1","ACSL1","103758504",0,0,0,1,0,0,3,6,0,1,3,6,0,0.5,1,0,1,1
"NW_021938789.1","CENPU","103758526",2,1,0,0,0,0,6,4,2,1,6,4,2,1.5,-0.333333333333333,1.33333333333333,1,1
"NW_021938789.1","PRIMPOL","103758505",3,3,1,0,0,0,8,1,4,3,8,1,1.33333333333333,8,0.833333333333333,0.166666666666667,0.261538461538462,1
"NW_021938789.1","CASP3","103758506",0,0,0,1,0,0,3,2,0,1,3,2,0,1.5,1,0,1,1
"NW_021938789.1","IRF2","103758507",0,1,0,0,0,0,0,3,0,1,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","ENPP6","103758527",1,6,0,1,0,0,2,4,1,7,2,4,0.142857142857143,0.5,0.714285714285714,0.285714285714286,0.538461538461538,1
"NW_021938789.1","STOX2","103758508",5,3,0,0,0,0,2,11,5,3,2,11,1.66666666666667,0.181818181818182,-8.16666666666667,9.16666666666667,0.0555211558307533,1
"NW_021938789.1","TRAPPC11","103758509",1,6,0,1,0,0,2,9,1,7,2,9,0.142857142857143,0.222222222222222,0.357142857142857,0.642857142857143,1,1
"NW_021938789.1","RWDD4","103758510",1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
"NW_021938789.1","ING2","103758528",1,1,0,2,0,0,1,3,1,3,1,3,0.333333333333333,0.333333333333333,0,1,1,1
"NW_021938789.1","CDKN2AIP","103758529",3,1,0,1,0,0,3,10,3,2,3,10,1.5,0.3,-4,5,0.268207282913165,1
"NW_021938789.1","LOC103758512","103758512",2,2,0,0,0,0,0,2,2,2,0,2,1,0,-Inf,Inf,0.466666666666667,1
"NW_021938789.1","WWC2","103758530",4,3,0,2,0,0,7,17,4,5,7,17,0.8,0.411764705882353,-0.942857142857143,1.94285714285714,0.437575939077608,1
"NW_021938789.1","DCTD","103758532",2,0,0,1,0,0,0,2,2,1,0,2,2,0,-Inf,Inf,0.4,1
"NW_021938789.1","TENM3","103758514",9,15,0,8,0,1,1,20,9,24,1,20,0.375,0.05,-6.5,7.5,0.0691324547767332,1
"NW_021938789.1","AGA","103758533",1,2,0,0,0,0,1,2,1,2,1,2,0.5,0.5,0,1,1,1
"NW_021938789.1","NEIL3","103758534",6,4,3,0,0,0,4,5,9,4,4,5,2.25,0.8,-1.8125,2.8125,0.384210526315789,1
"NW_021938789.1","VEGFC","103758535",3,0,0,1,0,0,0,6,3,1,0,6,3,0,-Inf,Inf,0.0333333333333333,1
"NW_021938789.1","ASB5","103758515",2,1,0,0,0,0,3,6,2,1,3,6,2,0.5,-3,4,0.522727272727273,1
"NW_021938789.1","WDR17","103758516",2,3,1,0,0,0,5,12,3,3,5,12,1,0.416666666666667,-1.4,2.4,0.621385479509049,1
"NW_021938789.1","GPM6A","103758517",2,1,0,0,0,0,0,1,2,1,0,1,2,0,-Inf,Inf,1,1
"NW_021938789.1","GLRA3","103756595",3,2,0,1,0,0,0,5,3,3,0,5,1,0,-Inf,Inf,0.181818181818182,1
"NW_021938789.1","HPGD","103766107",1,1,0,0,0,0,0,2,1,1,0,2,1,0,-Inf,Inf,1,1
"NW_021938789.1","CEP44","103766106",2,2,2,1,0,0,3,7,4,3,3,7,1.33333333333333,0.428571428571429,-2.11111111111111,3.11111111111111,0.349958864664747,1
"NW_021938789.1","FBXO8","103766104",0,1,2,0,0,0,1,4,2,1,1,4,2,0.25,-7,8,0.464285714285714,1
"NW_021938789.1","HAND2","103766115",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938789.1","SCRG1","103766103",0,0,0,0,0,0,1,0,0,0,1,0,NA,Inf,NA,NA,NA,NA
"NW_021938789.1","HMGB2","103766102",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938789.1","GALNT7","103766113",0,2,0,0,0,0,0,3,0,2,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","GALNTL6","103766112",0,1,0,1,0,0,0,3,0,2,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","AADAT","103766101",0,3,0,1,0,0,2,3,0,4,2,3,0,0.666666666666667,1,0,0.444444444444445,1
"NW_021938789.1","MFAP3L","103765663",2,1,0,2,0,0,1,2,2,3,1,2,0.666666666666667,0.5,-0.333333333333333,1.33333333333333,1,1
"NW_021938789.1","LOC103766111","103766111",1,0,0,0,0,0,1,3,1,0,1,3,Inf,0.333333333333333,-Inf,Inf,0.4,1
"NW_021938789.1","CLCN3","103766099",2,1,0,1,0,0,2,4,2,2,2,4,1,0.5,-1,2,1,1
"NW_021938789.1","NEK1","103766110",2,1,1,3,0,0,3,10,3,4,3,10,0.75,0.3,-1.5,2.5,0.612616099071207,1
"NW_021938789.1","SH3RF1","103766098",0,1,1,0,0,0,4,8,1,1,4,8,1,0.5,-1,2,1,1
"NW_021938789.1","CBR4","103766097",2,2,0,0,0,0,1,3,2,2,1,3,1,0.333333333333333,-2,3,1,1
"NW_021938789.1","PALLD","103766095",10,4,0,2,0,0,7,14,10,6,7,14,1.66666666666667,0.5,-2.33333333333333,3.33333333333333,0.103805012766661,1
"NW_021938789.1","LOC103766109","103766109",4,1,1,5,0,0,22,12,5,6,22,12,0.833333333333333,1.83333333333333,0.545454545454545,0.454545454545455,0.30396532946015,1
"NW_021938789.1","LOC108639404","108639404",1,1,1,0,0,0,3,1,2,1,3,1,2,3,0.333333333333333,0.666666666666667,1,1
"NW_021938789.1","LOC103766108","103766108",6,1,2,2,0,0,20,8,8,3,20,8,2.66666666666667,2.5,-0.0666666666666667,1.06666666666667,1,1
"NW_021938789.1","ANXA10","108642529",0,0,0,1,0,0,3,6,0,1,3,6,0,0.5,1,0,1,1
"NW_021938789.1","SPOCK3","103766117",0,0,0,1,0,0,0,3,0,1,0,3,0,0,NA,NA,NA,NA
"NW_021938789.1","TLL1","103766118",0,5,1,1,0,1,1,5,1,7,1,5,0.142857142857143,0.2,0.285714285714286,0.714285714285714,1,1
"NW_021938789.1","CPE","103766202",0,1,0,1,0,0,1,1,0,2,1,1,0,1,1,0,1,1
"NW_021938789.1","MSMO1","103766119",1,1,0,0,0,0,1,0,1,1,1,0,1,Inf,1,0,1,1
"NW_021938789.1","KLHL2","103766120",1,1,0,0,0,0,0,4,1,1,0,4,1,0,-Inf,Inf,0.333333333333333,1
"NW_021938789.1","TMEM192","103766203",0,0,0,1,0,0,3,1,0,1,3,1,0,3,1,0,0.4,1
"NW_021938789.1","APELA","108639438",0,0,0,0,0,0,1,0,0,0,1,0,NA,Inf,NA,NA,NA,NA
"NW_021938789.1","MARCHF1","103766121",0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021938789.1","TMA16","103766204",1,0,0,2,0,0,2,2,1,2,2,2,0.5,1,0.5,0.5,1,1
"NW_021938789.1","NPY5R","103766122",1,2,1,0,0,0,0,0,2,2,0,0,1,NA,NA,NA,NA,NA
"NW_021938789.1","NPY1R","103766123",0,2,2,0,0,0,0,1,2,2,0,1,1,0,-Inf,Inf,1,1
"NW_021938789.1","NAF1","103766205",0,1,1,1,0,0,11,5,1,2,11,5,0.5,2.2,0.772727272727273,0.227272727272727,0.523219814241486,1
"NW_021938789.1","FSTL5","103766124",0,3,0,3,0,0,4,12,0,6,4,12,0,0.333333333333333,1,0,0.54066985645933,1
"NW_021938789.1","RAPGEF2","103766126",1,10,0,1,0,0,3,10,1,11,3,10,0.0909090909090909,0.3,0.696969696969697,0.303030303030303,0.59304347826087,1
"NW_021938789.1","LOC115307424","115307424",0,1,0,0,0,0,3,1,0,1,3,1,0,3,1,0,0.4,1
"NW_021938789.1","FNIP2","103766127",6,4,0,2,0,0,6,8,6,6,6,8,1,0.75,-0.333333333333333,1.33333333333333,1,1
"NW_021938789.1","PPID","103766208",1,0,0,1,0,0,0,6,1,1,0,6,1,0,-Inf,Inf,0.25,1
"NW_021938789.1","ETFDH","103766128",1,3,1,2,0,0,1,4,2,5,1,4,0.4,0.25,-0.6,1.6,1,1
"NW_021938789.1","CUNH4orf46","108641120",0,2,0,0,0,0,3,0,0,2,3,0,0,Inf,1,0,0.1,1
"NW_021938789.1","RXFP1","103766209",2,2,0,1,0,0,4,6,2,3,4,6,0.666666666666667,0.666666666666667,0,1,1,1
"NW_021938789.1","TMEM144","103766129",2,2,0,1,0,0,2,3,2,3,2,3,0.666666666666667,0.666666666666667,0,1,1,1
"NW_021938789.1","GASK1B","103766130",1,0,1,1,0,0,5,8,2,1,5,8,2,0.625,-2.2,3.2,0.55,1
"NW_021938789.1","GRIA2","103766210",0,0,0,1,0,0,0,8,0,1,0,8,0,0,NA,NA,NA,NA
"NW_021938789.1","GLRB","103766131",0,2,0,0,0,0,0,5,0,2,0,5,0,0,NA,NA,NA,NA
"NW_021938789.1","PDGFC","103766211",0,1,0,0,0,0,1,5,0,1,1,5,0,0.2,1,0,1,1
"NW_021938789.1","CTSO","103766212",3,2,1,1,0,0,1,1,4,3,1,1,1.33333333333333,1,-0.333333333333333,1.33333333333333,1,1
"NW_021938789.1","TDO2","103766132",1,5,0,2,0,0,3,8,1,7,3,8,0.142857142857143,0.375,0.619047619047619,0.380952380952381,0.602683178534572,1
"NW_021938789.1","ASIC5","103766133",3,0,2,0,0,0,4,7,5,0,4,7,Inf,0.571428571428571,-Inf,Inf,0.0336538461538462,1
"NW_021938789.1","GUCY1B1","103766134",1,4,0,0,0,0,0,5,1,4,0,5,0.25,0,-Inf,Inf,1,1
"NW_021938789.1","GUCY1A1","103766136",0,2,0,0,0,0,1,10,0,2,1,10,0,0.1,1,0,1,1
"NW_021938789.1","MAP9","103766213",4,1,1,0,0,0,6,6,5,1,6,6,5,1,-4,5,0.315610859728507,1
"NW_021938789.1","NPY2R","103766137",0,2,1,0,0,0,0,3,1,2,0,3,0.5,0,-Inf,Inf,1,1
"NW_021938789.1","RBM46","103766214",0,2,0,0,0,0,0,4,0,2,0,4,0,0,NA,NA,NA,NA
"NW_021938789.1","LRAT","103766138",1,3,0,1,0,0,1,1,1,4,1,1,0.25,1,0.75,0.25,1,1
"NW_021938789.1","LOC103766139","103766139",2,2,0,0,0,0,2,4,2,2,2,4,1,0.5,-1,2,1,1
"NW_021938789.1","FGG","103766140",0,2,0,0,0,0,1,3,0,2,1,3,0,0.333333333333333,1,0,1,1
"NW_021938789.1","FGA","103766141",0,1,0,0,0,0,6,13,0,1,6,13,0,0.461538461538462,1,0,1,1
"NW_021938789.1","FGB","103766142",2,2,0,3,0,0,3,4,2,5,3,4,0.4,0.75,0.466666666666667,0.533333333333333,1,1
"NW_021938789.1","PLRG1","103766215",0,2,0,0,0,0,1,9,0,2,1,9,0,0.111111111111111,1,0,1,1
"NW_021938789.1","DCHS2","103766217",13,5,6,6,0,1,25,36,19,12,25,36,1.58333333333333,0.694444444444444,-1.28,2.28,0.0796265194115653,1
"NW_021938789.1","SFRP2","103766144",0,1,0,0,0,0,0,6,0,1,0,6,0,0,NA,NA,NA,NA
"NW_021938789.1","TLR2","103765254",0,0,0,1,0,0,0,5,0,1,0,5,0,0,NA,NA,NA,NA
"NW_021938789.1","LOC103766146","103766146",1,0,0,0,0,0,4,3,1,0,4,3,Inf,1.33333333333333,-Inf,Inf,1,1
"NW_021938789.1","TMEM131L","103766147",3,9,2,1,1,0,6,13,6,10,6,13,0.6,0.461538461538462,-0.3,1.3,0.736240266963292,1
"NW_021938789.1","MND1","103766148",3,1,0,0,0,0,1,2,3,1,1,2,3,0.5,-5,6,0.485714285714286,1
"NW_021938789.1","TRIM2","103766149",0,1,0,1,0,0,0,6,0,2,0,6,0,0,NA,NA,NA,NA
"NW_021938789.1","FHDC1","103766218",2,6,0,1,0,0,6,4,2,7,6,4,0.285714285714286,1.5,0.80952380952381,0.19047619047619,0.169802333889021,1
"NW_021938789.1","ARFIP1","103766150",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
